Title,Artist,Album,Year,Genre
Tribal Message,Tribal E.P.,1992
Tutto Previsto,Donna Donna Donna,1977
Naïma,Ulysse,Naïma
Schizo,Unit Eight Various,Schizo,1978
Upstairs,It's Hard To Get In The Showbiz,1980
"Stopp, Seisku Aeg!",Velly Joonas,"Stopp, Seisku Aeg!",1980
Underwater Boy,Virna Lindt,Shiver,1984
The World is a Ghetto,The World is a Ghetto,1972
What Does It Take (To Win Your Love),What Does It Take (To Win Your Love) / One And Only,1981
The Move Of Life,"Windsor Riley Riley, Windsor",The Move Of Life,1988
Fühl Dich Frei (Basso's Maxi Version),Wolfsmond,Fühl Dich Frei,1982
"I Can Feel ""Everythang"" (Instrumental)","I Can Feel ""Everythang""",1996
Yamasuki,Le Monde Fabuleux Des Yamasuki,1971
Shashin,Yasuaki Shimizu ,IQ 179,1981
L. A. Nights,Yasuko Agawa,L.A. Night,1987
Ammenain Serdov (De Tout Coeur),Yorgantz,Yorgantz,1982
Face To Face,Yumi Murata,Desire,1985
"Zay ""Instrumental""",Djama,Zay,1989
Lotus 72 D,Zé Roberto,Lotus 72 D,1973
